name,price,ncomments,breakfast,cancel,rooms,distance,score_review,stars
7Days Premium Beijing Wangjing Nanhu Dongyuan,37,41,FALSE,FALSE,TRUE,11,7.5,2
King Parkview Hotel,45,241,FALSE,FALSE,FALSE,1.6,6.9,3
Imperial Courtyard,102,69,FALSE,FALSE,TRUE,3.9,8.6,3
Ji Hotel (Beijing Xidan),60,0,FALSE,FALSE,TRUE,1.3,NA,0
Home Inn Beijing National Aquatics Centre,70,17,FALSE,FALSE,TRUE,9,6.6,2
7Days Inn Premium Beijing Chaoyangmen,34,123,FALSE,FALSE,FALSE,3,6.8,2
JI Hotel Dongdan Beijing,72,17,FALSE,FALSE,FALSE,2.5,7.7,4
Qianmen Hostel (Beijing Tian'anmen Dashilan),51,86,FALSE,FALSE,TRUE,2.1,7.6,2
Lavande Hotel Beijing Guanganmen Daguan Garden,77,0,FALSE,FALSE,TRUE,4.7,NA,0
GreenTree Alliance Beijing Asian Sports Village Hotel,47,5,FALSE,FALSE,TRUE,10,9.5,3
GreenTree Inn Beijing Chaoyang Shilihe Antique City Express Hotel,29,49,FALSE,FALSE,TRUE,8,7.2,3
Beijing Wangfubieyuan Cultural Hotel,182,0,TRUE,FALSE,FALSE,2.9,NA,5
Qinfu Hotel Beijing Nanluogu Lane Houhai,72,6,FALSE,FALSE,TRUE,2.3,9.1,4
Hanting Youjia Hotel (Beijing North Taipingqiao),65,0,FALSE,FALSE,FALSE,6,NA,0
Yi Chao Service Apartment,75,43,FALSE,FALSE,TRUE,5,8.3,4
Orange Select Hotel(Beijing New Ditan Hospital),53,0,FALSE,FALSE,FALSE,16,NA,0
Meet Again Guesthouse(Shu shan),214,0,TRUE,FALSE,FALSE,13,NA,0
Crystal Theme Hotel,49,0,FALSE,FALSE,TRUE,7,NA,0
Lavande Hotels·Beijing South Railway Station Yangqiao,64,0,FALSE,FALSE,FALSE,6,NA,0
Beijing Jingyun Linli Apartment,126,0,FALSE,FALSE,FALSE,3.5,NA,0
7Days Premium Beijing Dongba Branch,23,0,FALSE,FALSE,FALSE,15,NA,0
7Days Premium Beijing Xidan Lingjing Hutong Subway Station Branch,44,0,FALSE,FALSE,FALSE,1.2,NA,0
Hanting Express Hotel Beijing Wangjing Huajiadi,52,9,FALSE,FALSE,FALSE,10,7.7,2
Poly Plaza Hotel,111,66,FALSE,FALSE,FALSE,4.4,8.1,4
Jinjiang Inn Beijing Olympics Park,51,29,FALSE,FALSE,TRUE,13,7.8,3
Kun Tai Hotel,151,30,FALSE,FALSE,FALSE,13,8.2,5
Greentree Alliance Beijing West Railway Station Zhanqian North Square Hotel,30,41,FALSE,FALSE,TRUE,5,6.3,3
Xinjinshan Yijia Condo Hotel,63,0,FALSE,FALSE,TRUE,4,NA,0
Fengguyuan Boutique Hotel,75,0,FALSE,FALSE,FALSE,3.2,NA,4
TaiYue Suites Beijing,114,138,FALSE,FALSE,TRUE,5,7.4,4
Ibis Beijing Guanzhuang Changying Middle Road Hotel,35,26,FALSE,FALSE,TRUE,17,7.7,1
Hanting Express Beijing Yaojiayuan Road,35,12,FALSE,FALSE,FALSE,9,7.8,0
JI Hotel 798 Art Zone Beijing,58,22,FALSE,FALSE,FALSE,12,7.4,4
Lavande Hotel Beijing Changping Stadium,34,0,FALSE,FALSE,FALSE,36,NA,0
Spring Time Hostel,47,0,FALSE,FALSE,TRUE,2.5,NA,2
Hanting Express Beijing Zizhu Bridge,47,5,FALSE,FALSE,TRUE,8,6.5,2
Lavande Hotel Beijing Asian Games Village,73,0,FALSE,FALSE,FALSE,10,NA,3
Bestay Hotel Express Beijing Temple of Heaven,26,525,FALSE,FALSE,TRUE,4.3,6.6,0
Peking Garden Boutique Hotel,89,104,TRUE,FALSE,TRUE,1.9,8.5,2
Guangyao Service Apartment Beijing Ritan,184,213,FALSE,FALSE,TRUE,4.3,8.4,5
China Sunshine Apartment Dacheng,57,17,FALSE,FALSE,FALSE,8,8.1,0
The Sandalwood Beijing Marriott Executive Apartments,185,6,FALSE,FALSE,TRUE,11,8.5,5
Xana Hotelle Beijing Tianqiao,63,0,FALSE,FALSE,FALSE,3.5,NA,3
Beijing RJ Brown City Center Hotel,164,1465,FALSE,FALSE,TRUE,3.7,7.5,3
Three-Bedroom Apartment Next to Wangjing Metro Station,129,6,FALSE,FALSE,TRUE,11,8.8,0
Man Xin Hotel Beijing West Railway Station,83,6,FALSE,FALSE,FALSE,7,9.3,4
7Days Inn Beijing Yizhuang Development Zone,23,0,FALSE,FALSE,FALSE,16,NA,2
7Days Inn Beijing Yizhuang Bridge,18,0,FALSE,FALSE,FALSE,13,NA,0
The Palace Service Apartment Beijing,88,78,FALSE,FALSE,FALSE,5,6.8,4
Home Inn Beijing International Exhibition Sanyuanqiao,48,11,FALSE,FALSE,FALSE,8,7.6,2
Days Inn Forbidden City Beijing,102,317,FALSE,FALSE,FALSE,1.4,6.9,3
7Days Premium Beijing Sanlitun Tuanjiehu Subway Station Branch,45,0,FALSE,FALSE,FALSE,7,NA,0
Traveler Inn-Hepingli,68,27,FALSE,FALSE,FALSE,5,8.2,3
